center_x,center_y,left_x,left_y,right_x,right_y,left_center_x,left_center_y,right_center_x,right_center_y,road_speed,rightcenter_cur,leftcenter_cur,in_bend
441.104193817887,-240.554403477282,441.042205624515,-236.804915850435,441.166182011258,-244.30389110413,441.073199721201,-238.679659663859,441.135187914572,-242.429147290706,11.1111111111111,0.00193081550594173,0.00192081759524384,1
441.604125481067,-240.54613838517,441.545945392382,-236.796589735362,441.662305569751,-244.295687034979,441.575035436724,-238.671364060266,441.633215525409,-242.420912710074,11.1111111111111,0.00203533394824138,0.00202398275827579,1
442.104065278437,-240.538381040363,442.049888646493,-236.788772408445,442.158241910381,-244.287989672281,442.076976962465,-238.663576724404,442.131153594409,-242.413185356322,11.1111111111111,0.00214002166567281,0.00212713124649436,1
442.604013071105,-240.531157489797,442.55403525275,-236.781490542231,442.65399088946,-244.280824437364,442.579024161928,-238.656324016014,442.629001980283,-242.40599096358,11.1111111111111,0.00224476939046197,0.00223022080252279,1
443.103968636763,-240.524493781048,443.058384992673,-236.77477084043,443.149552280852,-244.274216721665,443.081176814718,-238.649632310739,443.126760458807,-242.399355251356,11.1111111111111,0.00234953595533415,0.00233324888712615,1
443.603931665617,-240.518415962199,443.562937559166,-236.768640037796,443.644925772067,-244.268191886603,443.583434612392,-238.643527999997,443.624428718842,-242.393303924401,11.1111111111111,0.00245431873195209,0.00243621462242967,1
444.10390175632,-240.512950081695,444.067692552266,-236.763124899964,444.140110960374,-244.262775263426,444.085797154293,-238.63803749083,444.122006358347,-242.38786267256,11.1111111111111,0.00255911671191359,0.00253911713181097,1
444.603878411897,-240.508122188162,444.572649474883,-236.758252223284,444.63510734891,-244.25799215304,444.58826394339,-238.633187205723,444.619492880403,-242.383057170601,11.1111111111111,0.00266392888677512,0.00264195553990454,1
445.103861035677,-240.503958330212,445.07780772854,-236.754048834612,445.129914342815,-244.253867825811,445.090834382108,-238.629003582412,445.116887689246,-242.378913078012,11.1111111111111,0.00276875424803446,0.00274472897265341,1
445.603848927225,-240.500484556213,445.583166609096,-236.750541591085,445.624531245354,-244.250427521342,445.593507768161,-238.625513073649,445.61419008629,-242.375456038777,11.1111111111111,0.00287359178719243,0.00284743655732498,1
446.103841278268,-240.49772691404,446.088725302469,-236.747757379861,446.118957254067,-244.24769644822,446.096283290369,-238.62274214695,446.111399266168,-242.37271168113,11.1111111111111,0.00297844049580098,0.00295007742249192,1
446.60383716863,-240.495711450792,446.594482880347,-236.745723117838,446.613191456913,-244.245699783746,446.599160024489,-238.620717284315,446.608514312772,-242.370705617269,11.1111111111111,0.00308329936541572,0.00305265069812814,1
447.103835562161,-240.494464212481,447.100438295891,-236.744465751337,447.10723282843,-244.244462673625,447.102136929026,-238.619464981909,447.105534195295,-242.369463443053,11.1111111111111,0.00318816738770132,0.0031551555155629,1
447.603835302669,-240.494011243694,447.606590379437,-236.744012255754,447.601080225901,-244.244010231635,447.605212841053,-238.619011749724,447.602457764285,-242.369010737665,11.1111111111111,0.00329304355443348,0.00325759100752418,1
448.103835109856,-240.494378587221,448.112937834183,-236.744389635183,448.09473238553,-244.244367539259,448.10838647202,-238.619384111202,448.099283747693,-242.36937306324,11.1111111111111,0.00339792685751051,0.00335995630817438,1
448.60383357525,-240.495592283648,448.619479231875,-236.745624922,448.588187918626,-244.245559645297,448.611656403563,-238.620608602824,448.596010746938,-242.370575964473,11.1111111111111,0.00350281628900471,0.00346225055312592,1
449.103829158139,-240.497678370926,449.126213008483,-236.747745176422,449.081445307796,-244.24761156543,449.115021083311,-238.622711773674,449.092637232968,-242.372644968178,11.1111111111111,0.00360771084116421,0.00356447287943755,1
449.603820181511,-240.500662883892,449.633137459872,-236.750777486018,449.574502903149,-244.250548281766,449.618478820691,-238.625720184955,449.58916154233,-242.375605582829,11.1111111111111,0.00371260950648578,0.00366662242567588,1
450.103804827986,-240.504571853767,450.140250737464,-236.754748965192,450.067358918508,-244.254394742342,450.122027782725,-238.62966040948,450.085581873247,-242.379483298055,11.1111111111111,0.00381751127768038,0.00376869833190709,1
450.603781135765,-240.509431307612,450.6475508439,-236.759686754626,450.560011427629,-244.259175860599,450.625665989832,-238.634559031119,450.581896281697,-242.384303584106,11.1111111111111,0.00392241514775896,0.00387069973971559,1
451.103746994561,-240.515267267745,451.155035628688,-236.76561802068,451.052458360434,-244.264916514809,451.129391311624,-238.640442644213,451.078102677498,-242.390091891277,11.1111111111111,0.00402732011002733,0.00397262579225881,1
451.603700141552,-240.522105751119,451.662702783848,-236.772569954757,451.544697499257,-244.271641547482,451.6332014627,-238.647337852938,451.574198820404,-242.3968736493,11.1111111111111,0.00413222515812794,0.0040744756342372,1
452.103638157322,-240.529972768669,452.170549839557,-236.78056977262,452.036726475086,-244.279375764718,452.137093998439,-238.655271270645,452.070182316204,-242.404674266694,11.1111111111111,0.00423712928605578,0.00417624841196786,1
452.603558461809,-240.538894324606,452.678574159783,-236.789644713676,452.528542763835,-244.288143935535,452.641066310796,-238.664269519141,452.566050612822,-242.413519130071,11.1111111111111,0.00434203148819548,0.00427794327336357,1
453.103458310261,-240.548896415675,453.18677293791,-236.799822040203,453.020143682612,-244.297970791146,453.145115624086,-238.674359227939,453.061800996436,-242.42343360341,11.1111111111111,0.00444693075935581,0.00437955936797922,1
453.603334789188,-240.560005030373,453.695143192373,-236.811129036544,453.511526386003,-244.308881024201,453.64923899078,-238.685567033459,453.557430587595,-242.434443027287,11.1111111111111,0.00455182609477561,0.00448109584701875,1
454.103184812319,-240.572246148119,454.20368176227,-236.82359300825,454.002687862368,-244.320899287988,454.153433287294,-238.697919578184,454.052936337344,-242.446572718053,11.1111111111111,0.00465671649016902,0.00458255186336532,1
454.603005116567,-240.585645738379,454.712385302985,-236.83724128117,454.49362493015,-244.334050195587,454.657695209776,-238.711443509775,454.548315023359,-242.459847966983,11.1111111111111,0.00476160094175462,0.00468392657158395,1
455.102792257995,-240.600229759746,455.221250281799,-236.852101200506,454.984334234191,-244.348358318987,455.162021269897,-238.726165480126,455.043563246093,-242.474294039367,11.1111111111111,0.00486647844627309,0.00478521912796519,1
